report_date,location,value
4/9/16,Argentina-La_Rioja,0
4/9/16,Argentina-La_Rioja,0
4/9/16,Argentina-La_Rioja,3
4/9/16,Argentina-La_Rioja,0
4/9/16,Argentina-Mendoza,0
4/9/16,Argentina-Mendoza,0
4/9/16,Argentina-Mendoza,1
4/9/16,Argentina-Mendoza,0
4/9/16,Argentina-Mendoza,15
4/9/16,Argentina-Mendoza,0
4/9/16,Argentina-Misiones,0
4/9/16,Argentina-Misiones,0
4/9/16,Argentina-Misiones,0
4/9/16,Argentina-Misiones,0
4/9/16,Argentina-Misiones,6
4/9/16,Argentina-Misiones,0
4/9/16,Argentina-Neuquen,0
4/9/16,Argentina-Neuquen,0
4/9/16,Argentina-Neuquen,0
4/9/16,Argentina-Neuquen,0
4/9/16,Argentina-Neuquen,19
4/9/16,Argentina-Neuquen,0
4/9/16,Argentina-Rio_Negro,0
4/9/16,Argentina-Rio_Negro,0
4/9/16,Argentina-Rio_Negro,0
4/9/16,Argentina-Rio_Negro,0
4/9/16,Argentina-Rio_Negro,7
4/9/16,Argentina-Rio_Negro,0
4/9/16,Argentina-Salta,0
4/9/16,Argentina-Salta,0
4/9/16,Argentina-Salta,0
4/9/16,Argentina-Salta,0
4/9/16,Argentina-Salta,70
4/9/16,Argentina-Salta,2
4/9/16,Argentina-San_Juan,0
4/9/16,Argentina-San_Juan,0
4/9/16,Argentina-San_Juan,0
4/9/16,Argentina-San_Juan,0
4/9/16,Argentina-San_Juan,0
4/9/16,Argentina-San_Juan,0
4/9/16,Argentina-San_Luis,0
4/9/16,Argentina-San_Luis,0
4/9/16,Argentina-San_Luis,0
4/9/16,Argentina-San_Luis,0
4/9/16,Argentina-San_Luis,10
4/9/16,Argentina-San_Luis,0
4/9/16,Argentina-Santa_Cruz,0
4/9/16,Argentina-Santa_Cruz,0
4/9/16,Argentina-Santa_Cruz,0
4/9/16,Argentina-Santa_Cruz,0
4/9/16,Argentina-Santa_Cruz,9
4/9/16,Argentina-Santa_Cruz,0
4/9/16,Argentina-Santa_Fe,0
4/9/16,Argentina-Santa_Fe,0
4/9/16,Argentina-Santa_Fe,0
4/9/16,Argentina-Santa_Fe,0
4/9/16,Argentina-Santa_Fe,21
4/9/16,Argentina-Santa_Fe,2
4/9/16,Argentina-Sgo_Del_Estero,0
4/9/16,Argentina-Sgo_Del_Estero,0
4/9/16,Argentina-Sgo_Del_Estero,0
4/9/16,Argentina-Sgo_Del_Estero,0
4/9/16,Argentina-Sgo_Del_Estero,6
4/9/16,Argentina-Sgo_Del_Estero,0
